id,Series_Title,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,combined_features
568,Freaks,Drama,7.9,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",80.0,Tod Browning,Wallace Ford,Leila Hyams,Olga Baclanova,Roscoe Ates,42117,"Drama Tod Browning A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance. Wallace Ford Leila Hyams Olga Baclanova Roscoe Ates"
569,Nosferatu,Fantasy,7.9,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,79.0,F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenheim,Greta Schröder,88794,Fantasy F.W. Murnau Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife. Max Schreck Alexander Granach Gustav von Wangenheim Greta Schröder
570,The Gentlemen,Action,7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",51.0,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,237392,"Action Guy Ritchie An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him. Matthew McConaughey Charlie Hunnam Michelle Dockery Jeremy Strong"
571,Raazi,Action,7.8,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,79.0,Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,25344,Action Meghna Gulzar A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971. Alia Bhatt Vicky Kaushal Rajit Kapoor Shishir Sharma
572,Sound of Metal,Drama,7.8,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,81.0,Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Lauren Ridloff,27187,Drama Darius Marder A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing. Riz Ahmed Olivia Cooke Paul Raci Lauren Ridloff
573,Forushande,Drama,7.8,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",85.0,Asghar Farhadi,Shahab Hosseini,Taraneh Alidoosti,Babak Karimi,Mina Sadati,51240,"Drama Asghar Farhadi While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections. Shahab Hosseini Taraneh Alidoosti Babak Karimi Mina Sadati"
574,Dunkirk,Action,7.8,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",94.0,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,555092,"Action Christopher Nolan Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II. Fionn Whitehead Barry Keoghan Mark Rylance Tom Hardy"
575,Perfetti sconosciuti,Comedy,7.8,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",79.0,Paolo Genovese,Giuseppe Battiston,Anna Foglietta,Marco Giallini,Edoardo Leo,57168,"Comedy Paolo Genovese Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles. Giuseppe Battiston Anna Foglietta Marco Giallini Edoardo Leo"
576,Hidden Figures,Biography,7.8,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,74.0,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,200876,Biography Theodore Melfi The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program. Taraji P. Henson Octavia Spencer Janelle Monáe Kevin Costner
577,Paddington 2,Adventure,7.8,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",88.0,Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,61594,"Adventure Paul King Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen. Ben Whishaw Hugh Grant Hugh Bonneville Sally Hawkins"
578,Udta Punjab,Action,7.8,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,79.0,Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh,27175,Action Abhishek Chaubey A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline. Shahid Kapoor Alia Bhatt Kareena Kapoor Diljit Dosanjh
579,Kubo and the Two Strings,Animation,7.8,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,84.0,Travis Knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,118035,Animation Travis Knight A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past. Charlize Theron Art Parkinson Matthew McConaughey Ralph Fiennes
580,M.S. Dhoni: The Untold Story,Biography,7.8,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,79.0,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,40416,Biography Neeraj Pandey The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team. Sushant Singh Rajput Kiara Advani Anupam Kher Disha Patani
581,Manchester by the Sea,Drama,7.8,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,96.0,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,246963,Drama Kenneth Lonergan A depressed uncle is asked to take care of his teenage nephew after the boy's father dies. Casey Affleck Michelle Williams Kyle Chandler Lucas Hedges
