id,Series_Title,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,combined_features
1,The Shawshank Redemption,Drama,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",80.0,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2343110,"Drama Frank Darabont Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency. Tim Robbins Morgan Freeman Bob Gunton William Sadler"
2,The Godfather,Crime,9.2,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,100.0,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,1620367,Crime Francis Ford Coppola An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son. Marlon Brando Al Pacino James Caan Diane Keaton
3,The Dark Knight,Action,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",84.0,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2303232,"Action Christopher Nolan When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice. Christian Bale Heath Ledger Aaron Eckhart Michael Caine"
4,The Godfather: Part II,Crime,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",90.0,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,1129952,"Crime Francis Ford Coppola The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate. Al Pacino Robert De Niro Robert Duvall Diane Keaton"
5,12 Angry Men,Crime,9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,96.0,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845,Crime Sidney Lumet A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence. Henry Fonda Lee J. Cobb Martin Balsam John Fiedler
6,The Lord of the Rings: The Return of the King,Action,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,94.0,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1642758,Action Peter Jackson Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring. Elijah Wood Viggo Mortensen Ian McKellen Orlando Bloom
7,Pulp Fiction,Crime,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",94.0,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,1826188,"Crime Quentin Tarantino The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption. John Travolta Uma Thurman Samuel L. Jackson Bruce Willis"
8,Schindler's List,Biography,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",94.0,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,1213505,"Biography Steven Spielberg In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis. Liam Neeson Ralph Fiennes Ben Kingsley Caroline Goodall"
9,Inception,Action,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,74.0,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042,Action Christopher Nolan A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O. Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page Ken Watanabe
10,Fight Club,Drama,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",66.0,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,1854740,"Drama David Fincher An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more. Brad Pitt Edward Norton Meat Loaf Zach Grenier"
11,The Lord of the Rings: The Fellowship of the Ring,Action,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,92.0,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,1661481,Action Peter Jackson A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron. Elijah Wood Ian McKellen Orlando Bloom Sean Bean
12,Forrest Gump,Drama,8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",82.0,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,1809221,"Drama Robert Zemeckis The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart. Tom Hanks Robin Wright Gary Sinise Sally Field"
13,"Il buono, il brutto, il cattivo",Western,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,90.0,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,688390,Western Sergio Leone A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery. Clint Eastwood Eli Wallach Lee Van Cleef Aldo Giuffrè
14,The Lord of the Rings: The Two Towers,Action,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",87.0,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,1485555,"Action Peter Jackson While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard. Elijah Wood Ian McKellen Viggo Mortensen Orlando Bloom"
15,The Matrix,Action,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",73.0,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1676426,"Action Lana Wachowski When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence. Lilly Wachowski Keanu Reeves Laurence Fishburne Carrie-Anne Moss"
16,Goodfellas,Biography,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",90.0,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,1020727,"Biography Martin Scorsese The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate. Robert De Niro Ray Liotta Joe Pesci Lorraine Bracco"
17,Star Wars: Episode V - The Empire Strikes Back,Action,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",82.0,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,1159315,"Action Irvin Kershner After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy. Mark Hamill Harrison Ford Carrie Fisher Billy Dee Williams"
18,One Flew Over the Cuckoo's Nest,Drama,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",83.0,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,918088,"Drama Milos Forman A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients. Jack Nicholson Louise Fletcher Michael Berryman Peter Brocco"
19,Hamilton,Biography,8.6,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",90.0,Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry,55291,"Biography Thomas Kail The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast. Lin-Manuel Miranda Phillipa Soo Leslie Odom Jr. Renée Elise Goldsberry"
20,Gisaengchung,Comedy,8.6,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,96.0,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,552778,Comedy Bong Joon Ho Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan. Kang-ho Song Lee Sun-kyun Cho Yeo-jeong Choi Woo-sik
21,Soorarai Pottru,Drama,8.6,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",79.0,Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali,54995,"Drama Sudha Kongara Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way. Suriya Madhavan Paresh Rawal Aparna Balamurali"
22,Interstellar,Adventure,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,74.0,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,1512360,Adventure Christopher Nolan A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival. Matthew McConaughey Anne Hathaway Jessica Chastain Mackenzie Foy
23,Cidade de Deus,Crime,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",79.0,Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,699256,"Crime Fernando Meirelles In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin. Kátia Lund Alexandre Rodrigues Leandro Firmino Matheus Nachtergaele"
24,Sen to Chihiro no kamikakushi,Animation,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",96.0,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,651376,"Animation Hayao Miyazaki During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts. Daveigh Chase Suzanne Pleshette Miyu Irino Rumi Hiiragi"
25,Saving Private Ryan,Drama,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",91.0,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,1235804,"Drama Steven Spielberg Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action. Tom Hanks Matt Damon Tom Sizemore Edward Burns"
26,The Green Mile,Crime,8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",61.0,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,1147794,"Crime Frank Darabont The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift. Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt"
27,La vita è bella,Comedy,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",59.0,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,623629,"Comedy Roberto Benigni When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp. Roberto Benigni Nicoletta Braschi Giorgio Cantarini Giustino Durano"
28,Se7en,Crime,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",65.0,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,1445096,"Crime David Fincher Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives. Morgan Freeman Brad Pitt Kevin Spacey Andrew Kevin Walker"
29,The Silence of the Lambs,Crime,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",85.0,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,1270197,"Crime Jonathan Demme A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims. Jodie Foster Anthony Hopkins Lawrence A. Bonney Kasi Lemmons"
30,Star Wars,Action,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",90.0,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,1231473,"Action George Lucas Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader. Mark Hamill Harrison Ford Carrie Fisher Alec Guinness"
31,Seppuku,Action,8.6,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",85.0,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,42004,"Action Masaki Kobayashi When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity. Tatsuya Nakadai Akira Ishihama Shima Iwashita Tetsurô Tanba"
32,Shichinin no samurai,Action,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,98.0,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,315744,Action Akira Kurosawa A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves. Toshirô Mifune Takashi Shimura Keiko Tsushima Yukiko Shimazaki
33,It's a Wonderful Life,Drama,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,89.0,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,405801,Drama Frank Capra An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed. James Stewart Donna Reed Lionel Barrymore Thomas Mitchell
34,Joker,Crime,8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",59.0,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,939252,"Crime Todd Phillips In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker. Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy"
35,Whiplash,Drama,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,88.0,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,717585,Drama Damien Chazelle A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential. Miles Teller J.K. Simmons Melissa Benoist Paul Reiser
36,The Intouchables,Biography,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",57.0,Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,760360,"Biography Olivier Nakache After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver. Éric Toledano François Cluzet Omar Sy Anne Le Ny"
37,The Prestige,Drama,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",66.0,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,1190259,"Drama Christopher Nolan After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other. Christian Bale Hugh Jackman Scarlett Johansson Michael Caine"
38,The Departed,Crime,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,85.0,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,1189773,Crime Martin Scorsese An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston. Leonardo DiCaprio Matt Damon Jack Nicholson Mark Wahlberg
39,The Pianist,Biography,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,85.0,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,729603,Biography Roman Polanski A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II. Adrien Brody Thomas Kretschmann Frank Finlay Emilia Fox
40,Gladiator,Action,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,67.0,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,1341460,Action Ridley Scott A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery. Russell Crowe Joaquin Phoenix Connie Nielsen Oliver Reed
41,American History X,Drama,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,62.0,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,1034705,Drama Tony Kaye A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did. Edward Norton Edward Furlong Beverly D'Angelo Jennifer Lien
42,The Usual Suspects,Crime,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",77.0,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,991208,"Crime Bryan Singer A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup. Kevin Spacey Gabriel Byrne Chazz Palminteri Stephen Baldwin"
43,Léon,Action,8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",64.0,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,1035236,"Action Luc Besson Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade. Jean Reno Gary Oldman Natalie Portman Danny Aiello"
44,The Lion King,Animation,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88.0,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,942045,"Animation Roger Allers Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself. Rob Minkoff Matthew Broderick Jeremy Irons James Earl Jones"
45,Terminator 2: Judgment Day,Action,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",75.0,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,995506,"Action James Cameron A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg. Arnold Schwarzenegger Linda Hamilton Edward Furlong Robert Patrick"
46,Nuovo Cinema Paradiso,Drama,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,80.0,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,230763,Drama Giuseppe Tornatore A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist. Philippe Noiret Enzo Cannavale Antonella Attili Isa Danieli
47,Hotaru no haka,Animation,8.5,A young boy and his little sister struggle to survive in Japan during World War II.,94.0,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara,235231,Animation Isao Takahata A young boy and his little sister struggle to survive in Japan during World War II. Tsutomu Tatsumi Ayano Shiraishi Akemi Yamaguchi Yoshiko Shinohara
48,Back to the Future,Adventure,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",87.0,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,1058081,"Adventure Robert Zemeckis Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown. Michael J. Fox Christopher Lloyd Lea Thompson Crispin Glover"
49,Once Upon a Time in the West,Western,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,80.0,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,302844,Western Sergio Leone A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad. Henry Fonda Charles Bronson Claudia Cardinale Jason Robards
50,Psycho,Horror,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",97.0,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,604211,"Horror Alfred Hitchcock A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother. Anthony Perkins Janet Leigh Vera Miles John Gavin"
51,Casablanca,Drama,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,100.0,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,522093,Drama Michael Curtiz A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco. Humphrey Bogart Ingrid Bergman Paul Henreid Claude Rains
52,Modern Times,Comedy,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,96.0,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,217881,Comedy Charles Chaplin The Tramp struggles to live in modern industrial society with the help of a young homeless woman. Charles Chaplin Paulette Goddard Henry Bergman Tiny Sandford
53,City Lights,Comedy,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",99.0,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,167839,"Comedy Charles Chaplin With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically. Charles Chaplin Virginia Cherrill Florence Lee Harry Myers"
54,Capharnaüm,Drama,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",75.0,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,62635,"Drama Nadine Labaki While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect. Zain Al Rafeea Yordanos Shiferaw Boluwatife Treasure Bankole Kawsar Al Haddad"
55,Ayla: The Daughter of War,Biography,8.4,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",79.0,Can Ulkay,Erdem Can,Çetin Tekindor,Ismail Hacioglu,Kyung-jin Lee,34112,"Biography Can Ulkay In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary » Erdem Can Çetin Tekindor Ismail Hacioglu Kyung-jin Lee"
56,Vikram Vedha,Action,8.4,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",79.0,Gayatri,Pushkar,Madhavan,Vijay Sethupathi,Shraddha Srinath,28401,"Action Gayatri Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict. Pushkar Madhavan Vijay Sethupathi Shraddha Srinath"
57,Kimi no na wa.,Animation,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",79.0,Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,194838,"Animation Makoto Shinkai Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart? Ryûnosuke Kamiki Mone Kamishiraishi Ryô Narita Aoi Yûki"
58,Dangal,Action,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,79.0,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,156479,Action Nitesh Tiwari Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression. Aamir Khan Sakshi Tanwar Fatima Sana Shaikh Sanya Malhotra
59,Spider-Man: Into the Spider-Verse,Animation,8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",87.0,Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,375110,"Animation Bob Persichetti Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities. Peter Ramsey Rodney Rothman Shameik Moore Jake Johnson"
60,Avengers: Endgame,Action,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",78.0,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,809955,"Action Anthony Russo After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe. Joe Russo Robert Downey Jr. Chris Evans Mark Ruffalo"
61,Avengers: Infinity War,Action,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,68.0,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,834477,Action Anthony Russo The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. Joe Russo Robert Downey Jr. Chris Hemsworth Mark Ruffalo
